lea_name,old_lea_name,NAME,leaid,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_hispanic,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,top10_flag,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
ROWVA 208,R O W V A CUSD 208,Illinois,1729940,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roxana Community Unit 1,Roxana CUSD 1,Illinois,1735010,NA,NA,NA,NA,NA,NA,NA,0,0.95589,NA,0.96179,NA,NA,NA,0.95294,NA,NA,NA,NA,NA,NA,NA
Roxbury,Roxbury School District,Vermont,5006960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roxbury Central,ROXBURY CENTRAL SCHOOL DISTRICT,New York,3625110,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roxbury Township,Roxbury Township School District,New Jersey,3414340,NA,NA,NA,NA,NA,NA,NA,0,0.85289,0.85396,0.85552,0.85141,NA,NA,0.85148,NA,NA,NA,NA,NA,NA,NA
Roxton,ROXTON ISD,Texas,4838160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roy K-12 Schools,Roy K-12 Schools,Montana,3023160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roy Municipal Schools,ROY MUNICIPAL SCHOOLS,New Mexico,3502280,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal,ROYAL ISD,Texas,4838190,NA,NA,NA,NA,NA,NA,NA,0,0.86305,0.86365,0.86357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal,Royal School District,Washington,5307620,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Oak Schools,Royal Oak Schools,Michigan,2630300,0,0,0,0,NA,NA,0,0,0.96047,0.96143,0.96247,0.96375,NA,NA,0.95721,0.84483,0.94118,0.94086,0.96296,NA,NA,0.92188
Royal Valley,Royal Valley,Kansas,2009320,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royall,Royall School District,Wisconsin,5504380,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royalton,ROYALTON PUBLIC SCHOOL DISTRICT,Minnesota,2732520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.87595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royalton,Royalton School District,Vermont,5006990,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royalton-Hartland Central,ROYALTON-HARTLAND CENTRAL SCHOOL DISTRICT,New York,3625140,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royse City,ROYSE CITY ISD,Texas,4838220,NA,NA,NA,NA,NA,NA,NA,0,0.88238,0.88083,0.87993,0.88169,NA,NA,0.8822,NA,NA,NA,NA,NA,NA,NA
RSU 01-LKRSU,RSU 01 - LKRSU,Maine,2314772,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.96817,NA,NA,NA,0.95451,NA,NA,NA,NA,NA,NA,NA
RSU 02,RSU 02,Maine,2314776,NA,0.26709,NA,NA,NA,NA,NA,0,NA,NA,0.90826,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
RSU 03,RSU 03/MSAD 03,Maine,2311520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.78917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 04,RSU 04,Maine,2314783,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 05,RSU 05,Maine,2314789,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.79691,0.82042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 07/Msad 07,RSU 07/MSAD 07,Maine,2311820,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 08/Msad 08,RSU 08/MSAD 08,Maine,2311850,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 10,RSU 10,Maine,2314795,NA,0.37919,NA,NA,NA,NA,NA,0,NA,NA,0.93013,NA,NA,NA,NA,NA,NA,0.62081,NA,NA,NA,NA
RSU 13,RSU 13,Maine,2314787,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 14,RSU 14,Maine,2314793,NA,NA,NA,NA,NA,NA,NA,1,0.81466,0.82069,0.81824,NA,NA,NA,0.80151,NA,NA,NA,NA,NA,NA,NA
RSU 15/MSAD 15,RSU 15/MSAD 15,Maine,2310710,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.92905,NA,NA,NA,0.94343,NA,NA,NA,NA,NA,NA,NA
RSU 16,RSU 16,Maine,2314775,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.83973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 18,RSU 18,Maine,2314779,NA,NA,NA,NA,NA,NA,NA,0,0.86647,NA,0.89405,NA,NA,NA,0.89488,NA,NA,NA,NA,NA,NA,NA
RSU 19,RSU 19,Maine,2314785,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.84255,NA,NA,NA,0.85425,NA,NA,NA,NA,NA,NA,NA
RSU 20,RSU 20,Maine,2314791,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 21,RSU 21,Maine,2314773,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9462,0.94249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 22,RSU 22,Maine,2314815,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93225,NA,NA,NA,0.93458,NA,NA,NA,NA,NA,NA,NA
RSU 23,RSU 23,Maine,2314784,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 24,RSU 24,Maine,2314790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.84322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 25,RSU 25,Maine,2314796,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 26,RSU 26,Maine,2314778,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 28/MSAD 28,RSU 28/MSAD 28,Maine,2311130,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 29/MSAD 29,RSU 29/MSAD 29,Maine,2311160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.85813,NA,0.8665,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 30/MSAD 30,RSU 30/MSAD 30,Maine,2311220,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 31/MSAD 31,RSU 31/MSAD 31,Maine,2311250,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 32/Msad 32,RSU 32/MSAD 32,Maine,2311280,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 33/MSAD 33,RSU 33/MSAD 33,Maine,2311310,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 34,RSU 34,Maine,2314782,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93186,NA,NA,NA,0.93002,NA,NA,NA,NA,NA,NA,NA
RSU 35/MSAD 35,RSU 35/MSAD 35,Maine,2311370,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.97577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 37/MSAD 37,RSU 37/MSAD 37,Maine,2311430,NA,NA,NA,NA,NA,NA,NA,0,0.91684,NA,0.92668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 38,RSU 38,Maine,2314788,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.86197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 39,RSU 39,Maine,2314794,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 40/MSAD 40,RSU 40/MSAD 40,Maine,2311550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.91277,NA,NA,NA,0.90176,NA,NA,NA,NA,NA,NA,NA
RSU 41/MSAD 41,RSU 41/MSAD 41,Maine,2311580,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 42/MSAD 42,RSU 42/MSAD 42,Maine,2311610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 44/MSAD 44,RSU 44/MSAD 44,Maine,2311670,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.95158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 45/MSAD 45,RSU 45/MSAD 45,Maine,2311700,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 49/MSAD 49,RSU 49/MSAD 49,Maine,2314330,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 50,RSU 50,Maine,2314806,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
RSU 51/MSAD 51,RSU 51/MSAD 51,Maine,2314240,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.97916,NA,NA,NA,0.97827,NA,NA,NA,NA,NA,NA,NA
RSU 52/MSAD 52,RSU 52/MSAD 52,Maine,2314160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 53/MSAD 53,RSU 53/MSAD 53,Maine,2314610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 54/MSAD 54,RSU 54/MSAD 54,Maine,2314590,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.86786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 55/MSAD 55,RSU 55/MSAD 55,Maine,2314190,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 56,RSU 56,Maine,2314833,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 57,RSU 57/MSAD 57,Maine,2314670,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.92299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 58/MSAD 58,RSU 58/MSAD 58,Maine,2314300,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.86947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 59/MSAD 59,RSU 59/MSAD 59,Maine,2314560,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 60,RSU 60/MSAD 60,Maine,2314700,NA,NA,NA,NA,NA,NA,NA,1,0.77071,NA,0.75675,NA,NA,NA,0.76106,NA,NA,NA,NA,NA,NA,NA
RSU 61/MSAD 61,RSU 61/MSAD 61,Maine,2314210,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.71879,NA,NA,NA,0.7204,NA,NA,NA,NA,NA,NA,NA
RSU 63/MSAD 63,RSU 63/MSAD 63,Maine,2314470,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.8322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 64/MSAD 64,RSU 64/MSAD 64,Maine,2314440,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 65/Msad 65,RSU 65/MSAD 65,Maine,2314410,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 67,RSU 67,Maine,2314777,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 68/MSAD 68,RSU 68/MSAD 68,Maine,2314761,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 70/MSAD 70,RSU 70/MSAD 70,Maine,2314762,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 71,RSU 71,Maine,2314822,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9591,NA,NA,NA,0.96722,NA,NA,NA,NA,NA,NA,NA
RSU 72/MSAD 72,RSU 72/MSAD 72,Maine,2314765,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 73,RSU 73,Maine,2314805,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.92719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 74/MSAD 74,RSU 74/MSAD 74,Maine,2314767,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.87551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 75/MSAD 75,RSU 75/MSAD 75,Maine,2314768,NA,NA,NA,NA,NA,NA,NA,0,0.81139,NA,0.81428,NA,NA,NA,0.8245,NA,NA,NA,NA,NA,NA,NA
Rsu 78,RSU 78,Maine,2314803,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 79/MSAD 01,RSU 79/MSAD 01,Maine,2310860,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.98552,NA,0.98224,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 80/MSAD 04,RSU 80/MSAD 04,Maine,2311730,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 82/Msad 12,RSU 82/MSAD 12,Maine,2310620,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 83/MSAD 13,RSU 83/MSAD 13,Maine,2310650,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 84/Msad 14,RSU 84/MSAD 14,Maine,2310680,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rsu 85/Msad 19,RSU 85/MSAD 19,Maine,2310830,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 86/MSAD 20,RSU 86/MSAD 20,Maine,2310890,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 87/MSAD 23,RSU 87/MSAD 23,Maine,2310980,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.82959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSU 88/MSAD 24,RSU 88/MSAD 24,Maine,2311010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rudd-Rockford-Marble Rock Community,Rudd-Rockford-Marble Rk Comm School District,Iowa,1924960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rudyard Area Schools,Rudyard Area Schools,Michigan,2630360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rugby 5,RUGBY 5,North Dakota,3816130,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruidoso Municipal Schools,RUIDOSO MUNICIPAL SCHOOLS,New Mexico,3502310,NA,NA,NA,NA,NA,NA,NA,0,0.90303,NA,0.90227,NA,0.90162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rule,RULE ISD,Texas,4838280,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rum River Special Education Cooperative,RUM RIVER SPECIAL EDUCATION COOP,Minnesota,2700318,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Rumney,Rumney School District,New Hampshire,3306000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumson-Fair Haven Regional High School,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL SCHOOL DISTRICT,New Jersey,3414400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumson Borough,Rumson Borough School District,New Jersey,3414370,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Runestone Area Education,RUNESTONE AREA ED. DISTRICT,Minnesota,2700016,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Runge,RUNGE ISD,Texas,4838310,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Runnemede,RUNNEMEDE PUBLIC SCHOOL DISTRICT,New Jersey,3414430,NA,NA,NA,NA,NA,NA,NA,0,0.83375,NA,0.83126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rural Vista,Rural Vista,Kansas,2007440,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0.83208,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Rush-Henrietta Central,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,New York,3625170,1,1,1,1,NA,NA,1,0,0.97102,0.96908,0.97215,0.97146,NA,NA,0.9741,0.43919,0.52488,0.51086,0.54027,NA,NA,0.34483
Rush City,RUSH CITY PUBLIC SCHOOL DISTRICT,Minnesota,2732550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rush County Schools,Rush County Schools,Indiana,1809750,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.88426,NA,NA,NA,0.90818,NA,NA,NA,NA,NA,NA,NA
Rush Springs,RUSH SPRINGS,Oklahoma,4026550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rushford-Peterson Schools,RUSHFORD-PETERSON PUBLIC SCHOOLS,Minnesota,2728290,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rusk,RUSK ISD,Texas,4838360,NA,NA,NA,NA,NA,NA,NA,0,0.81498,0.81948,0.81868,NA,NA,NA,0.81825,NA,NA,NA,NA,NA,NA,NA
Russell County,RUSSELL CO PBLC SCHS,Virginia,5103420,NA,0.5688,NA,NA,NA,NA,NA,0,NA,NA,0.93099,NA,NA,NA,NA,NA,NA,0.43120000000000003,NA,NA,NA,NA
Russell County,Russell County,Alabama,0102880,0,0,0,NA,NA,NA,0,0,0.80494,0.80589,0.83311,NA,NA,NA,0.80463,0,0,0,NA,NA,NA,0
Russell County,Russell County,Kansas,2011310,NA,NA,NA,NA,NA,NA,NA,0,0.8968,NA,0.90371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell County,Russell County,Kentucky,2105160,NA,NA,NA,NA,NA,NA,NA,0,0.90032,NA,0.90693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Independent,Russell Independent,Kentucky,2105130,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.89523,NA,NA,NA,0.87481,NA,NA,NA,NA,NA,NA,NA
Russell Tyler Ruthton,RTR PUBLIC SCHOOLS,Minnesota,2700294,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Russellville,RUSSELLVILLE SCHOOL DISTRICT,Arkansas,0512060,0,0,0,0,NA,NA,0,0,0.87092,0.88139,0.89065,0.86815,NA,NA,0.87556,0.60291,0.58434,0.61931,0.64103,NA,NA,0.6
Russellville City,Russellville City,Alabama,0102910,0,0,0,NA,NA,NA,NA,0,0.92073,0.91995,0.92145,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
Russellville Independent,Russellville Independent,Kentucky,2105190,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia Local,Russia Local,Ohio,3904981,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutherford,Rutherford School District,New Jersey,3414460,1,1,1,1,NA,NA,1,0,0.90468,0.90527,0.90338,0.90055,NA,NA,0.89911,0.69737,0.63636,0.63037,0.68912,NA,NA,0.52941
Rutherford County,Rutherford County,Tennessee,4703690,0.235,0.064,0.30487,0.08713,0.25,0.15,0.08732,1,0.95233,0.94573,0.96075,0.95805,0.95253,0.96167,0.95108,0.69513,0.765,0.936,0.91287,0.75,0.85,0.91268
Rutherford County Schools,Rutherford County Schools,North Carolina,3704080,0.20579,0.33506,0.36612,NA,NA,NA,0.3625,0,0.9674,0.96656,0.9645,NA,NA,NA,0.96693,0.57377,0.57556,0.61403,NA,NA,NA,0.575
Ruthven-Ayrshire Community,Ruthven-Ayrshire Comm School District,Iowa,1925050,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutland,Rutland School District 39-4,South Dakota,4664140,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.90213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutland City,Rutland City School District,Vermont,5007050,NA,1,1,NA,NA,NA,1,1,0.99472,NA,0.99482,NA,NA,NA,0.9962,1,NA,1,NA,NA,NA,1
Rutland Community Consolidated 230,Rutland CCSD 230,Illinois,1735100,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutland Town,Rutland Town School District,Vermont,5007080,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryal,RYAL,Oklahoma,4026580,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,RYAN,Oklahoma,4026610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rye,Rye School District,New Hampshire,3306030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rye City,RYE CITY SCHOOL DISTRICT,New York,3625260,NA,NA,NA,NA,NA,NA,NA,0,0.97712,NA,0.97592,0.98276,NA,NA,0.98336,NA,NA,NA,NA,NA,NA,NA
Rye Neck Union Free,RYE NECK UNION FREE SCHOOL DISTRICT,New York,3625290,NA,NA,NA,NA,NA,NA,NA,0,0.88714,NA,0.88487,0.89833,NA,NA,0.9009,NA,NA,NA,NA,NA,NA,NA
Ryegate K-12 Schools,Ryegate K-12 Schools,Montana,3023340,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S and S Consolidated,S AND S CISD,Texas,4838400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S H Elementary,S H Elem,Montana,3008040,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S Y Elementary,S Y Elem,Montana,3008010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabinal,SABINAL ISD,Texas,4838430,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Sabine,SABINE ISD,Texas,4838460,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabine Parish,Sabine Parish,Louisiana,2201380,0,0,0,NA,0,NA,0,0,0.9008,0.92507,0.91665,NA,0.88298,NA,0.90295,0,0,0,NA,0,NA,0
Sabine Pass,SABINE PASS ISD,Texas,4838490,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacaton Elementary District,Sacaton Elementary District,Arizona,0407200,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sachem Central,SACHEM CENTRAL SCHOOL DISTRICT,New York,3625350,1,1,1,1,NA,NA,1,1,0.96032,0.95925,0.95919,0.95866,NA,NA,0.96192,1,1,1,1,NA,NA,1
Sackets Harbor Central,SACKETS HARBOR CENTRAL SCHOOL DISTRICT,New York,3614880,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
